actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
UNC6418,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,Credential/email intelligence gathering via Gemini,,Ukraine,Defense,Credential/email intelligence gathering via Gemini,mitre_atlas,,TTP summary for this actor,2026-09-12
Temp.HEX,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,Individual profiling; Operational/structural data collection,China,Pakistan,Separatist organizations,Individual profiling; Operational/structural data collection,mitre_atlas,,TTP summary for this actor,2026-09-12
APT42,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,Recon and social engineering; Persona crafting; Malware development acceleration,Iran,,,Recon and social engineering; Persona crafting; Malware development acceleration,mitre_atlas,,TTP summary for this actor,2026-09-12
UNC2970,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,OSINT target profiling; High-fidelity phishing personas; Job-role and salary mapping,North Korea,,"Defense, cybersecurity companies",OSINT target profiling; High-fidelity phishing personas; Job-role and salary mapping,mitre_atlas,,TTP summary for this actor,2026-09-12
APT31,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,Automated vuln analysis via expert persona prompt; RCE and WAF-bypass analysis; SQL injection testing; Abused hexstrike MCP tooling framing,China,United States,,Automated vuln analysis via expert persona prompt; RCE and WAF-bypass analysis; SQL injection testing; Abused hexstrike MCP tooling framing,mitre_atlas,,TTP summary for this actor,2026-09-12
UNC795,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,Frequent Gemini use for intrusion tooling; AI-integrated code-auditing capability (agentic AI interest),China,,,Frequent Gemini use for intrusion tooling; AI-integrated code-auditing capability (agentic AI interest),mitre_atlas,,TTP summary for this actor,2026-09-12
APT41,nation_state,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,Malicious tooling development; Code translation and troubleshooting,China,,,Malicious tooling development; Code translation and troubleshooting,mitre_atlas,,TTP summary for this actor,2026-09-12
UNC5356,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,malware,COINBAIT phishing kit,,,"Financial, cryptocurrency companies",,none,,COINBAIT built with Lovable AI; verbose console.log fingerprints,2026-09-12
UNC5356,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,tool,Lovable AI,,,"Financial, cryptocurrency companies",,none,,COINBAIT built with Lovable AI; verbose console.log fingerprints,2026-09-12
UNC5356,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,tool,Supabase,,,"Financial, cryptocurrency companies",,none,,COINBAIT built with Lovable AI; verbose console.log fingerprints,2026-09-12
UNC5356,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,tool,Cloudflare (proxy),,,"Financial, cryptocurrency companies",,none,,COINBAIT built with Lovable AI; verbose console.log fingerprints,2026-09-12
UNC5356,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,tool,Discord CDN (payloads),,,"Financial, cryptocurrency companies",,none,,COINBAIT built with Lovable AI; verbose console.log fingerprints,2026-09-12
UNC5356,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,ttp,SMS/phone phishing; React SPA credential-harvesting kit,,,"Financial, cryptocurrency companies",SMS/phone phishing; React SPA credential-harvesting kit,mitre_atlas,,COINBAIT built with Lovable AI; verbose console.log fingerprints,2026-09-12
GTIG-tracked AI-enabled malware,cybercriminal,google,"GTIG AI Threat Tracker: Distillation, Experimentation, and Integration",2026-02-12,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use,malware,HONESTCUE,,,,,none,,Malware families with AI integration; GTI VirusTotal collection linked,2026-09-12
