actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
APT42,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,"Phishing campaign content; Recon on defense personnel; Vuln research (Mikrotik, Apereo, Atlassian); Translation/localization",Iran,United States,"Defense, policy experts","Phishing campaign content; Recon on defense personnel; Vuln research (Mikrotik, Apereo, Atlassian); Translation/localization",mitre_atlas,,~30% of Iranian APT Gemini use,2026-09-12
Iranian APT actors (10+ groups),nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,"Coding/scripting (PowerShell, Python); Vuln research (CVEs, WinRM, IoT); UAV/anti-drone and satellite research; Android data-extraction research",Iran,,"Defense, military, weapons monitoring","Coding/scripting (PowerShell, Python); Vuln research (CVEs, WinRM, IoT); UAV/anti-drone and satellite research; Android data-extraction research",mitre_atlas,,TTP summary for this actor,2026-09-12
APT41,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,Recon; Attempted extraction of Gemini system info,China,United States,"Military, government IT, intelligence community",Recon; Attempted extraction of Gemini system info,mitre_atlas,,TTP summary for this actor,2026-09-12
PRC APT actors (20+ groups),nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,Windows Event Log code; Active Directory commands; EDR reverse engineering (Carbon Black); Lateral movement; Privilege escalation; Data exfiltration,China,United States + 8 countries,"Military, IT service providers, government",Windows Event Log code; Active Directory commands; EDR reverse engineering (Carbon Black); Lateral movement; Privilege escalation; Data exfiltration,mitre_atlas,,TTP summary for this actor,2026-09-12
DPRK APT actors (9 groups),nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,Free-hosting infra research; Payload development; Crypto research; Chrome infostealer conversion (Python->Node.js); IT-worker placement support; Sandbox/VM evasion research,North Korea,"South Korea, United States, Germany; 13 countries","Military, nuclear technology, defense",Free-hosting infra research; Payload development; Crypto research; Chrome infostealer conversion (Python->Node.js); IT-worker placement support; Sandbox/VM evasion research,mitre_atlas,,TTP summary for this actor,2026-09-12
APT43,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,North Korean nuclear-issue research; AI image generation for personas,North Korea,,"Military, nuclear, foreign affairs",North Korean nuclear-issue research; AI image generation for personas,mitre_atlas,,TTP summary for this actor,2026-09-12
DPRK IT workers,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,tool,monica.im,North Korea,United States,Freelance gig platforms; hundreds of US companies,,none,,Clandestine IT-worker placement scheme,2026-09-12
DPRK IT workers,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,tool,ahrefs.com,North Korea,United States,Freelance gig platforms; hundreds of US companies,,none,,Clandestine IT-worker placement scheme,2026-09-12
DPRK IT workers,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,tool,Data Annotation Tech,North Korea,United States,Freelance gig platforms; hundreds of US companies,,none,,Clandestine IT-worker placement scheme,2026-09-12
DPRK IT workers,nation_state,google,Adversarial Misuse of Generative AI (GTIG),2025-01-29,https://services.google.com/fh/files/misc/adversarial-misuse-generative-ai.pdf,ttp,Job/salary research; Cover-letter generation; LinkedIn job research; AI-manipulated profile photos,North Korea,United States,Freelance gig platforms; hundreds of US companies,Job/salary research; Cover-letter generation; LinkedIn job research; AI-manipulated profile photos,mitre_atlas,,Clandestine IT-worker placement scheme,2026-09-12
